CustomerID,Age,Gender,Income,ProductsViewed,CartItems,TimeOnSite,PreviousPurchases,DiscountUsed,Membership,FavoriteCategory,Purchased,AmountSpent
1,20,Male,24114,39,7,19,11,30,Silver,Books,1,7514
2,57,Female,84965,40,5,37,25,3,Silver,Books,1,10648
3,51,Male,56321,17,9,39,3,22,Platinum,Books,1,9002
4,57,Male,93297,37,2,21,25,1,Silver,Fashion,1,8881
5,44,Male,116652,39,2,8,7,21,Silver,Home,1,7116
6,30,Female,119304,29,0,28,8,36,Gold,Sports,1,5972
7,62,Male,133942,36,6,5,22,7,Platinum,Electronics,1,12857
8,50,Male,45426,38,4,17,4,6,Gold,Home,1,5217
9,23,Male,37772,39,3,37,23,13,Gold,Books,1,7060
10,41,Female,123754,37,9,36,19,2,Silver,Home,1,14100
11,36,Male,23712,35,3,54,17,15,Gold,Sports,1,5598
12,33,Male,21367,7,3,19,10,18,Platinum,Electronics,1,4454
13,57,Male,126493,27,5,27,14,17,Silver,Electronics,1,10659
14,45,Male,127317,28,7,53,27,15,Gold,Sports,1,14042
15,50,Female,135142,22,7,34,21,7,Platinum,Sports,1,13455
16,58,Male,111736,14,4,11,8,32,Gold,Books,1,8469
17,30,Female,71924,7,5,54,16,11,Gold,Electronics,1,8776
18,60,Female,23726,37,3,45,26,10,Gold,Home,1,6949
19,62,Female,109152,22,8,47,25,4,Silver,Fashion,1,13716
20,42,Male,47723,5,7,12,11,26,Silver,Fashion,1,8458
21,59,Female,146969,2,9,54,6,11,Gold,Sports,1,13078
22,53,Male,123110,27,9,21,9,16,Gold,Books,1,12574
23,44,Female,120494,21,0,54,24,5,Platinum,Fashion,1,8419
24,55,Female,29108,38,1,11,25,32,Platinum,Electronics,1,5614
25,24,Female,97714,15,8,39,24,4,Gold,Sports,1,13108
26,22,Female,55643,21,7,28,9,27,Gold,Home,1,8475
27,60,Female,51324,10,2,5,26,13,Gold,Sports,1,7352
